0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:08:56 +0530] "GET /ShopingCartFrontEnd/login.jsp HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:18 +0530] "POST /ShopingCartFrontEnd/isValidUser HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:23 +0530] "GET /ShopingCartFrontEnd/categories HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:23 +0530] "GET /ShopingCartFrontEnd/resources/images/online-shopping-china.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:34 +0530] "GET /ShopingCartFrontEnd/suppliers HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:34 +0530] "GET /ShopingCartFrontEnd/resources/images/backsss.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:34 +0530] "GET /ShopingCartFrontEnd/resources/images/backsss.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:43 +0530] "GET /ShopingCartFrontEnd/products HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:09:43 +0530] "GET /ShopingCartFrontEnd/resources/images/Lenovo-Tab-A10-3a_1466691716692.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:18:19 +0530] "GET /ShopingCartFrontEnd/categories HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [03/Jul/2016:23:18:23 +0530] "GET /ShopingCartFrontEnd/suppliers HTTP/1.1" 200 1909
